Kind,Name,File,CountLineCode,Cyclomatic,SumCyclomatic
Class,"ABI_Collab_Export",AbiCollab_Export.h,466,,132
Public Function,"ABI_Collab_Export::ABI_Collab_Export",AbiCollab_Export.cpp,7,1,
Private Function,"ABI_Collab_Export::_buildPacket",AbiCollab_Export.cpp,216,53,
Private Function,"ABI_Collab_Export::_cleanup",AbiCollab_Export.cpp,10,4,
Private Function,"ABI_Collab_Export::_handleNewPacket",AbiCollab_Export.cpp,18,9,
Private Function,"ABI_Collab_Export::_init",AbiCollab_Export.cpp,9,1,
Private Function,"ABI_Collab_Export::_isGlobEnd",AbiCollab_Export.cpp,10,3,
Private Function,"ABI_Collab_Export::_mapPropsAtts",AbiCollab_Export.cpp,31,9,
Public Virtual Function,"ABI_Collab_Export::change",AbiCollab_Export.cpp,39,23,
Public Virtual Function,"ABI_Collab_Export::deferNotifications",AbiCollab_Export.h,1,1,
Public Const Function,"ABI_Collab_Export::getAdjusts",AbiCollab_Export.h,2,1,
Public Function,"ABI_Collab_Export::getAdjusts",AbiCollab_Export.h,2,1,
Public Virtual Const Function,"ABI_Collab_Export::getType",AbiCollab_Export.cpp,4,1,
Public Virtual Function,"ABI_Collab_Export::insertStrux",AbiCollab_Export.cpp,18,6,
Public Function,"ABI_Collab_Export::masterInit",AbiCollab_Export.cpp,6,1,
Public Virtual Function,"ABI_Collab_Export::populate",AbiCollab_Export.h,2,1,
Public Virtual Function,"ABI_Collab_Export::populateStrux",AbiCollab_Export.h,3,1,
Public Virtual Function,"ABI_Collab_Export::processDeferredNotifications",AbiCollab_Export.h,1,1,
Public Virtual Function,"ABI_Collab_Export::removeDocument",AbiCollab_Export.cpp,7,5,
Public Virtual Function,"ABI_Collab_Export::setNewDocument",AbiCollab_Export.cpp,7,5,
Public Virtual Function,"ABI_Collab_Export::signal",AbiCollab_Export.cpp,19,3,
Public Function,"ABI_Collab_Export::slaveInit",AbiCollab_Export.cpp,10,1,
Public Virtual Function,"ABI_Collab_Export::~ABI_Collab_Export",AbiCollab_Export.cpp,5,1,
Class,"ABI_Collab_Import",AbiCollab_Import.h,756,,231
Public Function,"ABI_Collab_Import::ABI_Collab_Import",AbiCollab_Import.cpp,5,1,
Private Function,"ABI_Collab_Import::_calculateCollisionSeqence",AbiCollab_Import.cpp,44,17,
Private Function,"ABI_Collab_Import::_checkForCollision",AbiCollab_Import.cpp,84,32,
Private Function,"ABI_Collab_Import::_disableUpdates",AbiCollab_Import.cpp,15,3,
