Kind,Name,File,CountLineCode,Cyclomatic,SumCyclomatic
Package,"(Unnamed_Package)",Find.java,58,,17
File,"ANTLR.java",ANTLR.java,244,,51
File,"AbstractAccessTask.java",AbstractAccessTask.java,40,,7
File,"AbstractAnalyzer.java",AbstractAnalyzer.java,119,,26
File,"AbstractClasspathResource.java",AbstractClasspathResource.java,163,,37
File,"AbstractCvsTask.java",AbstractCvsTask.java,391,,93
File,"AbstractFileSet.java",AbstractFileSet.java,532,,130
File,"AbstractHotDeploymentTool.java",AbstractHotDeploymentTool.java,60,,16
File,"AbstractJUnitResultFormatter.java",AbstractJUnitResultFormatter.java,180,,41
File,"AbstractJarSignerTask.java",AbstractJarSignerTask.java,207,,49
File,"AbstractResourceCollectionWrapper.java",AbstractResourceCollectionWrapper.java,113,,28
File,"AbstractScriptComponent.java",AbstractScriptComponent.java,58,,14
File,"AbstractSelectorContainer.java",AbstractSelectorContainer.java,177,,49
File,"AbstractSshMessage.java",AbstractSshMessage.java,150,,31
File,"AbstractUnicodeExtraField.java",AbstractUnicodeExtraField.java,94,,21
File,"AggregateTransformer.java",AggregateTransformer.java,203,,35
File,"Algorithm.java",Algorithm.java,6,,0
File,"AllButFirst.java",AllButFirst.java,15,,2
File,"AllButLast.java",AllButLast.java,22,,3
File,"AncestorAnalyzer.java",AncestorAnalyzer.java,74,,15
File,"And.java",And.java,12,,4
File,"AndSelector.java",AndSelector.java,19,,4
File,"AnsiColorLogger.java",AnsiColorLogger.java,110,,17
File,"Ant.java",Ant.java,428,,95
File,"AntAnalyzer.java",AntAnalyzer.java,59,,10
File,"AntClassLoader.java",AntClassLoader.java,735,,183
File,"AntClassLoader2.java",AntClassLoader2.java,9,,1
File,"AntClassLoader5.java",AntClassLoader5.java,13,,1
File,"AntFilterReader.java",AntFilterReader.java,95,,25
File,"AntMain.java",AntMain.java,6,,0
File,"AntResolver.java",AntResolver.java,57,,10
File,"AntSoundPlayer.java",AntSoundPlayer.java,134,,28
File,"AntStructure.java",AntStructure.java,249,,41
File,"AntTypeDefinition.java",AntTypeDefinition.java,191,,47
File,"AntVersion.java",AntVersion.java,98,,24
File,"AntXMLContext.java",AntXMLContext.java,165,,41
File,"Antlib.java",Antlib.java,107,,15
File,"AntlibDefinition.java",AntlibDefinition.java,26,,6
File,"ApacheCatalog.java",ApacheCatalog.java,40,,7
File,"ApacheCatalogResolver.java",ApacheCatalogResolver.java,52,,6
File,"Appendable.java",Appendable.java,6,,0
File,"Arc.java",Arc.java,70,,13
File,"ArchiveFileSet.java",ArchiveFileSet.java,297,,70
File,"ArchiveResource.java",ArchiveResource.java,169,,44
File,"ArchiveScanner.java",ArchiveScanner.java,154,,35
File,"Archives.java",Archives.java,111,,23
File,"ArgumentProcessor.java",ArgumentProcessor.java,10,,0
File,"ArgumentProcessorRegistry.java",ArgumentProcessorRegistry.java,105,,20
File,"AsiExtraField.java",AsiExtraField.java,132,,25
File,"Assertions.java",Assertions.java,146,,36
File,"Attrib.java",Attrib.java,91,,20
File,"AttributeNamespace.java",AttributeNamespace.java,3,,0
File,"AttributeNamespaceDef.java",AttributeNamespaceDef.java,19,,1
File,"AugmentReference.java",AugmentReference.java,50,,11
File,"Available.java",Available.java,304,,68
File,"BCFileSet.java",BCFileSet.java,32,,7
File,"BUnzip2.java",BUnzip2.java,57,,8
File,"BZip2.java",BZip2.java,28,,3
File,"BZip2Constants.java",BZip2Constants.java,67,,0
File,"BZip2Resource.java",BZip2Resource.java,34,,8
File,"Base64Converter.java",Base64Converter.java,66,,5
File,"BaseExtendSelector.java",BaseExtendSelector.java,18,,2
File,"BaseFilterReader.java",BaseFilterReader.java,76,,19
File,"BaseIfAttribute.java",BaseIfAttribute.java,24,,8
File,"BaseParamFilterReader.java",BaseParamFilterReader.java,22,,4
File,"BaseResourceCollectionContainer.java",BaseResourceCollectionContainer.java,149,,36
File,"BaseResourceCollectionWrapper.java",BaseResourceCollectionWrapper.java,23,,4
File,"BaseSelector.java",BaseSelector.java,43,,12
File,"BaseSelectorContainer.java",BaseSelectorContainer.java,147,,39
File,"Basename.java",Basename.java,39,,9
File,"BasicShape.java",BasicShape.java,23,,5
File,"BigProjectLogger.java",BigProjectLogger.java,76,,17
File,"BindTargets.java",BindTargets.java,49,,11
File,"BlockSort.java",BlockSort.java,635,,150
File,"BorlandDeploymentTool.java",BorlandDeploymentTool.java,289,,53
File,"BorlandEJBTasks.html",BorlandEJBTasks.html,0,0,0
File,"BorlandGenerateClient.html",BorlandGenerateClient.html,0,0,0
File,"BorlandGenerateClient.java",BorlandGenerateClient.java,157,,29
File,"BriefJUnitResultFormatter.java",BriefJUnitResultFormatter.java,155,,30
