Kind,Name,File,CountLineCode,Cyclomatic,SumCyclomatic
File,"10-at-a-time.c",10-at-a-time.c,132,,14
Static Function,"AcceptServerConnect",ftp.c,35,5,
Static Function,"AddFormInfo",formdata.c,21,5,
Static Function,"AddHttpPost",formdata.c,42,6,
Static Function,"AllowServerConnect",ftp.c,32,8,
Static Function,"CONNECT",http_proxy.c,314,73,
Struct,"CURLMsg",multi.h,8,,0
Static Function,"Characters",htmltitle.cpp,7,1,
Struct,"ConnectBits",urldata.h,35,,0
Static Function,"ConnectionExists",url.c,273,72,
Struct,"ContentType",mime.c,4,,0
Struct,"Context",htmltitle.cpp,6,,1
Public Function,"Context::Context",htmltitle.cpp,1,1,
Struct,"Cookie",cookie.h,17,,0
Struct,"CookieInfo",cookie.h,8,,0
Function,"Curl_GetFTPResponse",ftp.c,55,12,
Function,"Curl_HMAC_final",hmac.c,13,2,
Function,"Curl_HMAC_init",hmac.c,40,5,
Function,"Curl_HMAC_update",hmac.c,7,1,
Function,"Curl_MD5_final",md5.c,7,1,
Function,"Curl_MD5_init",md5.c,15,3,
Function,"Curl_MD5_update",md5.c,7,1,
Function,"Curl_SOCKS4",socks.c,162,26,
Function,"Curl_SOCKS5",socks.c,284,49,
Struct,"Curl_URL",urlapi.c,13,,0
Function,"Curl_add_buffer",http.c,35,7,
Function,"Curl_add_buffer_free",http.c,8,2,
Function,"Curl_add_buffer_init",http.c,4,1,
Function,"Curl_add_buffer_send",http.c,81,14,
Function,"Curl_add_bufferf",http.c,18,2,
Function,"Curl_add_custom_headers",http.c,103,27,
Function,"Curl_add_handle_to_pipeline",pipeline.c,15,2,
Function,"Curl_add_timecondition",http.c,42,7,
Struct,"Curl_addrinfo",curl_addrinfo.h,10,,0
Function,"Curl_all_content_encodings",content_encoding.c,29,7,
Struct,"Curl_async",urldata.h,8,,0
Function,"Curl_auth_build_spn",vauth.c,12,4,
Function,"Curl_auth_create_cram_md5_message",cram.c,33,5,
Function,"Curl_auth_create_digest_http_message",digest.c,29,7,
Function,"Curl_auth_create_digest_md5_message",digest.c,117,15,
Function,"Curl_auth_create_external_message",cleartext.c,6,1,
Function,"Curl_auth_create_login_message",cleartext.c,16,3,
Function,"Curl_auth_create_ntlm_type1_message",ntlm.c,76,2,
Function,"Curl_auth_create_ntlm_type3_message",ntlm.c,202,30,
Function,"Curl_auth_create_oauth_bearer_message",oauth2.c,23,4,
Function,"Curl_auth_create_plain_message",cleartext.c,29,3,
Function,"Curl_auth_decode_cram_md5_message",cram.c,11,2,
Function,"Curl_auth_decode_digest_http_message",digest.c,111,36,
Function,"Curl_auth_decode_ntlm_type2_message",ntlm.c,46,8,
Function,"Curl_auth_digest_cleanup",digest.c,13,7,
Function,"Curl_auth_digest_get_pair",digest.c,48,13,
Function,"Curl_auth_is_digest_supported",digest.c,4,1,
Function,"Curl_auth_is_ntlm_supported",ntlm.c,4,1,
Function,"Curl_auth_ntlm_cleanup",ntlm.c,5,2,
Function,"Curl_auth_user_contains_domain",vauth.c,10,3,
Function,"Curl_base64_decode",base64.c,45,9,
Function,"Curl_base64_encode",base64.c,6,1,
Function,"Curl_base64url_encode",base64.c,6,1,
Static Function,"Curl_basename",mime.c,15,5,
Function,"Curl_blockread_all",socks.c,41,8,
Function,"Curl_build_unencoding_stack",content_encoding.c,36,11,
Function,"Curl_builtin_scheme",url.c,9,3,
Function,"Curl_cache_addr",hostip.c,41,7,
Function,"Curl_checkProxyheaders",http.c,15,4,
Function,"Curl_checkheaders",transfer.c,13,3,
Function,"Curl_chunked_strerror",http_chunks.c,19,7,
Struct,"Curl_chunker",http_chunks.h,7,,0
Function,"Curl_client_write",sendf.c,18,5,
Function,"Curl_clone_primary_ssl_config",vtls.c,19,15,
Function,"Curl_close",url.c,50,17,
Function,"Curl_closesocket",connect.c,21,4,
Function,"Curl_compareheader",http.c,29,7,
Function,"Curl_concat_url",urlapi.c,90,19,
Function,"Curl_conn_data_pending",connect.c,9,2,
Function,"Curl_connalive",connect.c,8,3,
Function,"Curl_conncache_add_conn",conncache.c,34,6,
Function,"Curl_conncache_bundle_size",conncache.c,8,3,
Function,"Curl_conncache_close_all_connections",conncache.c,23,7,
Function,"Curl_conncache_destroy",conncache.c,5,2,
Function,"Curl_conncache_extract_bundle",conncache.c,33,6,
Function,"Curl_conncache_extract_oldest",conncache.c,45,9,
Function,"Curl_conncache_find_bundle",conncache.c,12,3,
Function,"Curl_conncache_find_first_connection",conncache.c,19,3,
Function,"Curl_conncache_foreach",conncache.c,30,8,
Function,"Curl_conncache_init",conncache.c,16,3,
Function,"Curl_conncache_remove_conn",conncache.c,23,9,
Function,"Curl_conncache_return_conn",conncache.c,17,5,
Function,"Curl_conncache_size",conncache.c,8,3,
Function,"Curl_conncache_unlock",conncache.c,4,2,
Function,"Curl_conncontrol",connect.c,15,5,
Function,"Curl_connect",url.c,28,6,
Function,"Curl_connect_complete",http_proxy.c,5,1,
Function,"Curl_connect_free",http_proxy.c,9,2,
Function,"Curl_connect_ongoing",http_proxy.c,5,1,
Function,"Curl_connected_proxy",url.c,34,12,
Function,"Curl_connecthost",connect.c,34,7,
Function,"Curl_cookie_add",cookie.c,382,104,
Function,"Curl_cookie_cleanup",cookie.c,10,3,
Function,"Curl_cookie_clearall",cookie.c,11,3,
Function,"Curl_cookie_clearsess",cookie.c,28,8,
Function,"Curl_cookie_freelist",cookie.c,9,2,
Function,"Curl_cookie_getlist",cookie.c,55,12,
Function,"Curl_cookie_init",cookie.c,65,16,
Function,"Curl_cookie_list",cookie.c,8,1,
Function,"Curl_cookie_loadfiles",cookie.c,21,4,
Function,"Curl_copy_header_value",http.c,30,9,
Function,"Curl_debug",sendf.c,25,5,
Function,"Curl_dedotdotify",dotdot.c,86,19,
Function,"Curl_des_set_odd_parity",curl_des.c,14,3,
Function,"Curl_digest_cleanup",http_digest.c,5,1,
Function,"Curl_disconnect",url.c,33,9,
Struct,"Curl_dns_entry",hostip.h,5,,0
Function,"Curl_doh",doh.c,11,1,
Function,"Curl_doh_is_resolved",doh.c,7,1,
Function,"Curl_doing_getsock",url.c,8,2,
Struct,"Curl_easy",urldata.h,26,,0
Function,"Curl_expire",multi.c,34,7,
Function,"Curl_expire_clear",multi.c,21,5,
Function,"Curl_expire_done",multi.c,4,1,
Function,"Curl_failf",sendf.c,21,4,
Function,"Curl_fetch_addr",hostip.c,16,4,
Function,"Curl_fileinfo_alloc",fileinfo.c,4,1,
Function,"Curl_fileinfo_cleanup",fileinfo.c,7,3,
Function,"Curl_fillreadbuffer",transfer.c,68,10,
Function,"Curl_flush_cookies",cookie.c,23,6,
Function,"Curl_fnmatch",curl_fnmatch.c,8,2,
Function,"Curl_follow",transfer.c,91,26,
Static Function,"Curl_formadd_convert",ccsidcurl.c,30,7,
Static Function,"Curl_formadd_release_local",ccsidcurl.c,10,5,
Static Function,"Curl_formget_callback_ccsid",ccsidcurl.c,22,5,
Function,"Curl_free_primary_ssl_config",vtls.c,10,8,
Function,"Curl_free_request_state",url.c,5,3,
Function,"Curl_freeaddrinfo",curl_addrinfo.c,12,2,
Function,"Curl_freeset",url.c,18,7,
Function,"Curl_ftp_parselist",ftplistparser.c,662,147,
Function,"Curl_ftp_parselist_data_alloc",ftplistparser.c,4,1,
Function,"Curl_ftp_parselist_data_free",ftplistparser.c,8,2,
Function,"Curl_ftp_parselist_geterror",ftplistparser.c,4,1,
Function,"Curl_ftpsend",ftp.c,35,8,
Function,"Curl_get_pathname",curl_path.c,66,13,
Function,"Curl_get_upload_buffer",transfer.c,9,3,
Function,"Curl_getaddressinfo",connect.c,23,3,
Function,"Curl_getaddrinfo",hostip4.c,12,2,
Function,"Curl_getaddrinfo_a",os400sys.c,34,5,
Function,"Curl_getconnectinfo",connect.c,25,6,
Function,"Curl_getformdata",formdata.c,82,28,
Function,"Curl_gethostname",curl_gethostname.c,14,3,
Function,"Curl_getnameinfo_a",os400sys.c,42,8,
Function,"Curl_getoff_all_pipelines",url.c,20,5,
