Kind,Name,File,CountLineCode,Cyclomatic,SumCyclomatic
Function,""click .ui-menu-item"",jquery-ui.min.js,1,2,2
Function,""mousedown .ui-menu-item"",jquery-ui.min.js,1,1,1
Function,""mouseenter .ui-menu-item"",jquery-ui.min.js,1,2,2
Function,"$.color.extract",jquery.flot.js,1,4,4
Function,"$.color.extract",jquery.colorhelpers.js,12,4,4
Function,"$.color.make",jquery.flot.js,1,2,13
Function,"$.color.make",jquery.colorhelpers.js,38,2,13
Function,"$.color.parse",jquery.flot.js,1,8,8
Function,"$.color.parse",jquery.colorhelpers.js,22,8,8
Function,"$.cookie",jquery.cookie.js,31,12,12
Function,"$.fn.detach",jquery.flot.js,7,1,3
Unnamed Function,"$.fn.detach.(unnamed_function_3)",jquery.flot.js,5,2,2
Function,"$.fn.plot",jquery.flot.js,5,1,2
Unnamed Function,"$.fn.plot.(unnamed_function_23)",jquery.flot.js,3,1,1
Function,"$.plot",jquery.flot.js,4,1,1
Function,"$.plot.image.load",jquery.flot.image.js,14,2,5
Unnamed Function,"$.plot.image.load.(unnamed_function_6)",jquery.flot.image.js,9,1,3
Function,"$.plot.image.load.(unnamed_function_6).handler",jquery.flot.image.js,6,2,2
Function,"$.plot.image.loadDataImages",jquery.flot.image.js,24,1,9
Unnamed Function,"$.plot.image.loadDataImages.(unnamed_function_2)",jquery.flot.image.js,12,3,5
Unnamed Function,"$.plot.image.loadDataImages.(unnamed_function_2).(unnamed_function_3)",jquery.flot.image.js,6,2,2
Unnamed Function,"$.plot.image.loadDataImages.(unnamed_function_4)",jquery.flot.image.js,8,1,3
Unnamed Function,"$.plot.image.loadDataImages.(unnamed_function_4).(unnamed_function_5)",jquery.flot.image.js,5,2,2
Function,"$.removeCookie",jquery.cookie.js,7,2,2
Unnamed Function,"(unnamed_function_1)",best-practices.html,21,4,6
Unnamed Function,"(unnamed_function_1)",realtime-results.html,21,4,6
Unnamed Function,"(unnamed_function_1)",jquery.flot.errorbars.js,221,1,60
Unnamed Function,"(unnamed_function_1)",glossary.html,21,4,6
Unnamed Function,"(unnamed_function_1)",regular_expressions.html,21,4,6
Unnamed Function,"(unnamed_function_1)",jquery.flot.symbol.js,46,1,9
Unnamed Function,"(unnamed_function_1)",nightly.html,21,4,6
Unnamed Function,"(unnamed_function_1)",changes.html,21,4,6
Unnamed Function,"(unnamed_function_1)",jquery.flot.js,1,1,26
Unnamed Function,"(unnamed_function_1)",generating-dashboard.html,21,4,6
Unnamed Function,"(unnamed_function_1)",jquery.flot.resize.js,1,3,29
Unnamed Function,"(unnamed_function_1)",ldapanswer_xml.html,21,4,6
Unnamed Function,"(unnamed_function_1)",issues.html,21,4,6
Unnamed Function,"(unnamed_function_1)",jquery.flot.tooltip.source.js,332,1,77
Unnamed Function,"(unnamed_function_1)",jquery.flot.image.js,147,1,32
Unnamed Function,"(unnamed_function_1)",jquery.flot.canvas.js,175,1,35
Unnamed Function,"(unnamed_function_1)",svnindex.html,21,4,6
Unnamed Function,"(unnamed_function_1)",jquery.min.js,1,3,5
Unnamed Function,"(unnamed_function_1)",jquery.flot.crosshair.js,94,1,22
Unnamed Function,"(unnamed_function_1)",jmeter_tutorial.html,21,4,6
Unnamed Function,"(unnamed_function_1)",jquery.numberformatter-1.2.3.min.js,1,1,72
Unnamed Function,"(unnamed_function_1)",curvedLines.js,274,1,43
