Kind,Name,File,CountLineCode,Cyclomatic,SumCyclomatic
Package,"(Unnamed_Package)",BadStaticInit.java,125,,26
File,"API.java",API.java,28,,5
File,"ASM.java",ASM.java,61,,15
File,"AbstractIRMethod.java",AbstractIRMethod.java,101,,20
File,"AbstractInvoker.java",AbstractInvoker.java,42,,5
File,"AbstractLocalContextProvider.java",AbstractLocalContextProvider.java,50,,14
File,"AbstractMemory.java",AbstractMemory.java,962,,227
File,"AbstractNodeVisitor.java",AbstractNodeVisitor.java,452,,114
File,"AbstractNumericMethodGenerator.java",AbstractNumericMethodGenerator.java,359,,89
File,"AbstractRubyMethod.java",AbstractRubyMethod.java,104,,23
File,"AbstractScript.java",AbstractScript.java,328,,228
File,"AbstractVariable.java",AbstractVariable.java,92,,24
File,"AddCallProtocolInstructions.java",AddCallProtocolInstructions.java,172,,40
File,"AddLocalVarLoadStoreInstructions.java",AddLocalVarLoadStoreInstructions.java,59,,9
File,"AddMissingInitsPass.java",AddMissingInitsPass.java,36,,5
File,"Addrinfo.java",Addrinfo.java,628,,139
File,"AliasInstr.java",AliasInstr.java,54,,9
File,"AliasMethod.java",AliasMethod.java,73,,16
File,"AliasNode.java",AliasNode.java,28,,6
File,"AllocatedDirectMemoryIO.java",AllocatedDirectMemoryIO.java,6,,0
File,"AllocatedNativeMemoryIO.java",AllocatedNativeMemoryIO.java,111,,25
File,"AluInstr.java",AluInstr.java,28,,5
File,"AndNode.java",AndNode.java,30,,6
File,"Annotation.java",Annotation.java,33,,8
File,"AnnotationBinder.java",AnnotationBinder.java,412,,92
File,"AnnotationExpression.java",AnnotationExpression.java,3,,0
File,"AnnotationHelper.java",AnnotationHelper.java,83,,27
File,"AnnotationParameter.java",AnnotationParameter.java,16,,3
File,"AnotherRunnable.java",AnotherRunnable.java,4,,0
File,"AppendModeChannel.java",AppendModeChannel.java,85,,18
File,"ArefCallSite.java",ArefCallSite.java,23,,5
File,"ArgScopeDepthInstr.java",ArgScopeDepthInstr.java,31,,5
File,"ArgsCatNode.java",ArgsCatNode.java,30,,6
File,"ArgsNode.java",ArgsNode.java,154,,51
File,"ArgsPushNode.java",ArgsPushNode.java,31,,6
File,"ArgsTailHolder.java",ArgsTailHolder.java,33,,6
File,"ArgsUtil.java",ArgsUtil.java,88,,27
File,"ArgumentDescriptor.java",ArgumentDescriptor.java,24,,5
File,"ArgumentError.java",ArgumentError.java,7,,1
File,"ArgumentNode.java",ArgumentNode.java,34,,7
File,"ArgumentProcessor.java",ArgumentProcessor.java,710,,179
File,"ArgumentType.java",ArgumentType.java,54,,22
File,"Argv.java",Argv.java,115,,30
File,"Arity.java",Arity.java,208,,71
File,"Array.java",Array.java,4,,0
File,"ArrayAnnotationExpression.java",ArrayAnnotationExpression.java,19,,4
File,"ArrayCopyBenchmark.java",ArrayCopyBenchmark.java,110,,22
File,"ArrayDerefInstr.java",ArrayDerefInstr.java,60,,9
File,"ArrayDerefInvokeSite.java",ArrayDerefInvokeSite.java,83,,8
File,"ArrayJavaAddons.java",ArrayJavaAddons.java,99,,21
File,"ArrayJavaProxy.java",ArrayJavaProxy.java,676,,217
File,"ArrayJavaProxyCreator.java",ArrayJavaProxyCreator.java,54,,9
File,"ArrayMemoryIO.java",ArrayMemoryIO.java,412,,101
File,"ArrayNode.java",ArrayNode.java,20,,4
File,"ArrayReceiver.java",ArrayReceiver.java,33,,10
File,"ArrayReturningInterface.java",ArrayReturningInterface.java,4,,0
File,"ArrayReturningInterfaceConsumer.java",ArrayReturningInterfaceConsumer.java,6,,1
File,"ArraySupport.java",ArraySupport.java,91,,36
File,"ArrayTypeNode.java",ArrayTypeNode.java,45,,12
File,"ArrayUtils.java",ArrayUtils.java,166,,45
File,"AsString.java",AsString.java,58,,13
File,"AsetCallSite.java",AsetCallSite.java,19,,3
File,"AsmClassBuilder.java",AsmClassBuilder.java,128,,27
File,"AssignableNode.java",AssignableNode.java,18,,5
File,"AssignedName.java",AssignedName.java,13,,2
File,"AttrAssignInstr.java",AttrAssignInstr.java,52,,10
File,"AttrAssignNode.java",AttrAssignNode.java,45,,9
File,"AttrReaderMethod.java",AttrReaderMethod.java,43,,9
File,"AttrWriterMethod.java",AttrWriterMethod.java,45,,8
File,"AttributeName.java",AttributeName.java,30,,7
File,"AutoPointer.java",AutoPointer.java,221,,41
File,"BFalseInstr.java",BFalseInstr.java,32,,6
File,"BNEInstr.java",BNEInstr.java,43,,10
File,"BNilInstr.java",BNilInstr.java,32,,6
File,"BSFExample.java",BSFExample.java,77,,9
File,"BSwitchInstr.java",BSwitchInstr.java,110,,21
File,"BTrueInstr.java",BTrueInstr.java,32,,6
File,"BUndefInstr.java",BUndefInstr.java,33,,6
File,"BackRefNode.java",BackRefNode.java,30,,6
File,"BacktraceData.java",BacktraceData.java,144,,47
File,"BacktraceElement.java",BacktraceElement.java,52,,12
File,"BadDescriptorException.java",BadDescriptorException.java,3,,0
Public Class,"BadStaticInit",BadStaticInit.java,6,,0
File,"BadStaticInit.java",BadStaticInit.java,6,,0
File,"BasicBlock.java",BasicBlock.java,193,,55
File,"BasicCompilerPassListener.java",BasicCompilerPassListener.java,45,,8
File,"BasicLibraryService.java",BasicLibraryService.java,6,,0
File,"BasicObjectStub.java",BasicObjectStub.java,304,,91
File,"BasicObjectStubGenerator.java",BasicObjectStubGenerator.java,79,,16
File,"BeanLikeInterface.java",BeanLikeInterface.java,15,,0
File,"BeanLikeInterfaceHandler.java",BeanLikeInterfaceHandler.java,43,,13
File,"BeanManager.java",BeanManager.java,16,,0
File,"BeanManagerFactory.java",BeanManagerFactory.java,42,,15
File,"BeanManagerImpl.java",BeanManagerImpl.java,118,,42
File,"BeginEndInterpreterContext.java",BeginEndInterpreterContext.java,20,,3
File,"BeginNode.java",BeginNode.java,24,,5
Public Class,"BenchJavaPropName",BenchJavaPropName.java,13,,4
File,"BenchJavaPropName.java",BenchJavaPropName.java,13,,4
Public Static Method,"BenchJavaPropName.main",BenchJavaPropName.java,11,4,4
Public Class,"BenchParser",BenchParser.java,64,,15
Private Static Method,"BenchParser.getContents",BenchParser.java,11,2,2
Private Static Method,"BenchParser.getIterations",BenchParser.java,7,2,2
Private Static Method,"BenchParser.getLexerSource",BenchParser.java,7,2,2
Private Static Method,"BenchParser.getParsers",BenchParser.java,12,4,4
File,"BenchParser.java",BenchParser.java,75,,15
Public Static Method,"BenchParser.main",BenchParser.java,24,5,5
Public Class,"BenchRubyCasedName",BenchRubyCasedName.java,13,,4
File,"BenchRubyCasedName.java",BenchRubyCasedName.java,13,,4
Public Static Method,"BenchRubyCasedName.main",BenchRubyCasedName.java,11,4,4
File,"Benchmark.c",Benchmark.c,31,,52
File,"BiVariable.java",BiVariable.java,19,,2
File,"BiVariableMap.java",BiVariableMap.java,297,,88
File,"BigDecimalLibrary.java",BigDecimalLibrary.java,10,,1
File,"Bignum.java",Bignum.java,38,,7
File,"BignumNode.java",BignumNode.java,31,,7
File,"BignumObjectSite.java",BignumObjectSite.java,30,,3
File,"BinaryOperatorNode.java",BinaryOperatorNode.java,5,,0
File,"Binding.java",Binding.java,178,,32
File,"BitAndCallSite.java",BitAndCallSite.java,22,,5
File,"BitOrCallSite.java",BitOrCallSite.java,22,,5
File,"Block.java",Block.java,182,,46
File,"BlockAcceptingNode.java",BlockAcceptingNode.java,5,,0
File,"BlockArgNode.java",BlockArgNode.java,33,,7
File,"BlockBody.java",BlockBody.java,179,,48
File,"BlockCallback.java",BlockCallback.java,5,,0
File,"BlockGivenInstr.java",BlockGivenInstr.java,43,,7
File,"BlockJITClassGenerator.java",BlockJITClassGenerator.java,30,,5
File,"BlockJITTask.java",BlockJITTask.java,55,,7
File,"BlockNode.java",BlockNode.java,15,,3
File,"BlockPassNode.java",BlockPassNode.java,30,,7
File,"BlockingIO.java",BlockingIO.java,201,,44
File,"Boolean.java",Boolean.java,51,,14
File,"BooleanReturningInterface.java",BooleanReturningInterface.java,4,,0
File,"BooleanReturningInterfaceConsumer.java",BooleanReturningInterfaceConsumer.java,9,,2
File,"Bootstrap.java",Bootstrap.java,961,,200
File,"BoundedNativeMemoryIO.java",BoundedNativeMemoryIO.java,222,,57
File,"BoxBooleanInstr.java",BoxBooleanInstr.java,20,,3
File,"BoxFixnumInstr.java",BoxFixnumInstr.java,20,,3
File,"BoxFloatInstr.java",BoxFloatInstr.java,20,,3
File,"BoxInstr.java",BoxInstr.java,13,,2
File,"BranchInstr.java",BranchInstr.java,9,,1
File,"BreakInstr.java",BreakInstr.java,63,,13
File,"BreakNode.java",BreakNode.java,27,,6
File,"BubbleBabble.java",BubbleBabble.java,51,,5
File,"Buffer.java",Buffer.java,160,,34
File,"BufferNativeInvoker.java",BufferNativeInvoker.java,112,,15
File,"BuildBackrefInstr.java",BuildBackrefInstr.java,60,,12
File,"BuildCompoundArrayInstr.java",BuildCompoundArrayInstr.java,57,,12
File,"BuildCompoundStringInstr.java",BuildCompoundStringInstr.java,94,,16
File,"BuildDynRegExpInstr.java",BuildDynRegExpInstr.java,93,,16
File,"BuildLambdaInstr.java",BuildLambdaInstr.java,67,,12
File,"BuildRangeInstr.java",BuildRangeInstr.java,58,,11
File,"BuildSplatInstr.java",BuildSplatInstr.java,48,,8
File,"BuiltinProfilingService.java",BuiltinProfilingService.java,68,,13
File,"BundleWiringOSGiClassLoaderAdapter.java",BundleWiringOSGiClassLoaderAdapter.java,16,,3
File,"ByteList.java",ByteList.java,631,,176
File,"ByteListHelper.java",ByteListHelper.java,47,,8
File,"ByteListHolder.java",ByteListHolder.java,6,,0
File,"ByteListLexerSource.java",ByteListLexerSource.java,53,,11
File,"CFG.java",CFG.java,480,,128
File,"CFGInliner.java",CFGInliner.java,301,,96
File,"CFGLinearizer.java",CFGLinearizer.java,84,,23
File,"CGIEscape.java",CGIEscape.java,402,,147
File,"CRLFStreamWrapper.java",CRLFStreamWrapper.java,249,,69
File,"CacheEntry.java",CacheEntry.java,22,,3
File,"CacheableMethod.java",CacheableMethod.java,4,,0
File,"CachedInJava.java",CachedInJava.java,16,,4
File,"Caches.java",Caches.java,20,,4
File,"CachesMBean.java",CachesMBean.java,5,,0
File,"CachingCallSite.java",CachingCallSite.java,387,,90
File,"CachingNativeMemoryAllocator.java",CachingNativeMemoryAllocator.java,251,,56
File,"CallBase.java",CallBase.java,386,,112
File,"CallBlock.java",CallBlock.java,64,,15
File,"CallBlock19.java",CallBlock19.java,67,,15
File,"CallConfiguration.java",CallConfiguration.java,150,,35
File,"CallInstr.java",CallInstr.java,108,,31
