Kind,Name,File,CountLineCode,Cyclomatic,SumCyclomatic
Class,"AboutDialog",AboutDialog.h,42,,5
File,"AboutDialog.cpp",AboutDialog.cpp,33,,5
File,"AboutDialog.h",AboutDialog.h,12,,0
Explicit Private Function,"AboutDialog::AboutDialog",AboutDialog.cpp,30,4,
Private Function,"AboutDialog::~AboutDialog",AboutDialog.cpp,3,1,
Struct Template,"AddConst",Global.h,1,,0
Class,"Application",Application.h,29,,4
File,"Application.cpp",Application.cpp,17,,4
File,"Application.h",Application.h,12,,0
Private Function,"Application::Application",Application.cpp,5,1,
Private Function,"Application::event",Application.cpp,8,2,
Private Function,"Application::setMainWindow",Application.cpp,4,1,
Class,"AttributesListView",EditEntryWidget_p.h,19,,3
Explicit Public Function,"AttributesListView::AttributesListView",EditEntryWidget_p.h,5,1,
Public Virtual Const Function,"AttributesListView::sizeHint",EditEntryWidget_p.h,10,2,
Class,"AutoType",AutoType.h,512,,119
File,"AutoType.cpp",AutoType.cpp,472,,118
File,"AutoType.h",AutoType.h,50,,2
Explicit Private Function,"AutoType::AutoType",AutoType.cpp,24,3,
Private Function,"AutoType::autoTypeSequence",AutoType.cpp,62,16,
Private Function,"AutoType::callEventFilter",AutoType.cpp,7,2,
Private Function,"AutoType::createActionFromTemplate",AutoType.cpp,155,48,
Private Static Function,"AutoType::createTestInstance",AutoType.cpp,5,1,
Private Static Function,"AutoType::instance",AutoType.cpp,7,2,
Private Function,"AutoType::isAvailable",AutoType.h,3,1,
Private Function,"AutoType::loadPlugin",AutoType.cpp,21,5,
Private Function,"AutoType::parseActions",AutoType.cpp,32,7,
Private Function,"AutoType::performAutoType",AutoType.cpp,37,8,
Public Function,"AutoType::performAutoTypeFromGlobal",AutoType.cpp,7,1,
Public Function,"AutoType::performGlobalAutoType",AutoType.cpp,44,8,
Private Function,"AutoType::registerGlobalShortcut",AutoType.cpp,24,5,
Private Function,"AutoType::resetInAutoType",AutoType.cpp,5,1,
Private Function,"AutoType::unloadPlugin",AutoType.cpp,11,3,
Private Function,"AutoType::unregisterGlobalShortcut",AutoType.cpp,6,2,
Private Function,"AutoType::windowMatches",AutoType.cpp,10,2,
Private Function,"AutoType::windowTitles",AutoType.cpp,7,2,
Private Function,"AutoType::~AutoType",AutoType.cpp,7,2,
Abstract Class,"AutoTypeAction",AutoTypeAction.h,7,,1
File,"AutoTypeAction.cpp",AutoTypeAction.cpp,55,,14
File,"AutoTypeAction.h",AutoTypeAction.h,48,,2
Public Virtual Function,"AutoTypeAction::~AutoTypeAction",AutoTypeAction.h,1,1,
Class,"AutoTypeAssociations",AutoTypeAssociations.h,107,,14
File,"AutoTypeAssociations.cpp",AutoTypeAssociations.cpp,74,,16
File,"AutoTypeAssociations.h",AutoTypeAssociations.h,34,,0
Private Struct,"AutoTypeAssociations::Association",AutoTypeAssociations.h,15,,2
Public Const Function,"AutoTypeAssociations::Association::operator!=",AutoTypeAssociations.cpp,4,1,
Public Const Function,"AutoTypeAssociations::Association::operator==",AutoTypeAssociations.cpp,4,1,
Explicit Private Function,"AutoTypeAssociations::AutoTypeAssociations",AutoTypeAssociations.cpp,4,1,
Private Function,"AutoTypeAssociations::add",AutoTypeAssociations.cpp,8,1,
Private Function,"AutoTypeAssociations::clear",AutoTypeAssociations.cpp,4,1,
Private Function,"AutoTypeAssociations::copyDataFrom",AutoTypeAssociations.cpp,10,2,
Private Const Function,"AutoTypeAssociations::get",AutoTypeAssociations.cpp,5,1,
Private Const Function,"AutoTypeAssociations::getAll",AutoTypeAssociations.cpp,4,1,
Private Function,"AutoTypeAssociations::remove",AutoTypeAssociations.cpp,8,1,
Private Function,"AutoTypeAssociations::removeEmpty",AutoTypeAssociations.cpp,10,3,
Private Const Function,"AutoTypeAssociations::size",AutoTypeAssociations.cpp,4,1,
Private Function,"AutoTypeAssociations::update",AutoTypeAssociations.cpp,9,2,
Class,"AutoTypeAssociationsModel",AutoTypeAssociationsModel.h,121,,22
File,"AutoTypeAssociationsModel.cpp",AutoTypeAssociationsModel.cpp,100,,22
File,"AutoTypeAssociationsModel.h",AutoTypeAssociationsModel.h,22,,0
Explicit Private Function,"AutoTypeAssociationsModel::AutoTypeAssociationsModel",AutoTypeAssociationsModel.cpp,5,1,
Public Function,"AutoTypeAssociationsModel::aboutToReset",AutoTypeAssociationsModel.cpp,4,1,
Public Function,"AutoTypeAssociationsModel::associationAboutToAdd",AutoTypeAssociationsModel.cpp,4,1,
Public Function,"AutoTypeAssociationsModel::associationAboutToRemove",AutoTypeAssociationsModel.cpp,4,1,
Public Function,"AutoTypeAssociationsModel::associationAdd",AutoTypeAssociationsModel.cpp,4,1,
Public Function,"AutoTypeAssociationsModel::associationChange",AutoTypeAssociationsModel.cpp,4,1,
Public Function,"AutoTypeAssociationsModel::associationRemove",AutoTypeAssociationsModel.cpp,4,1,
Private Const Function,"AutoTypeAssociationsModel::columnCount",AutoTypeAssociationsModel.cpp,5,1,
Private Const Function,"AutoTypeAssociationsModel::data",AutoTypeAssociationsModel.cpp,21,5,
Private Const Function,"AutoTypeAssociationsModel::headerData",AutoTypeAssociationsModel.cpp,14,3,
Public Function,"AutoTypeAssociationsModel::reset",AutoTypeAssociationsModel.cpp,4,1,
Private Const Function,"AutoTypeAssociationsModel::rowCount",AutoTypeAssociationsModel.cpp,9,2,
Private Function,"AutoTypeAssociationsModel::setAutoTypeAssociations",AutoTypeAssociationsModel.cpp,18,3,
Class,"AutoTypeChar",AutoTypeAction.h,20,,3
Explicit Public Function,"AutoTypeChar::AutoTypeChar",AutoTypeAction.cpp,4,1,
Public Virtual Function,"AutoTypeChar::accept",AutoTypeAction.cpp,4,1,
Public Virtual Function,"AutoTypeChar::clone",AutoTypeAction.cpp,4,1,
Class,"AutoTypeClearField",AutoTypeAction.h,18,,3
Public Function,"AutoTypeClearField::AutoTypeClearField",AutoTypeAction.cpp,3,1,
Public Virtual Function,"AutoTypeClearField::accept",AutoTypeAction.cpp,4,1,
Public Virtual Function,"AutoTypeClearField::clone",AutoTypeAction.cpp,4,1,
Class,"AutoTypeDelay",AutoTypeAction.h,20,,3
Explicit Public Function,"AutoTypeDelay::AutoTypeDelay",AutoTypeAction.cpp,4,1,
Public Virtual Function,"AutoTypeDelay::accept",AutoTypeAction.cpp,4,1,
Public Virtual Function,"AutoTypeDelay::clone",AutoTypeAction.cpp,4,1,
Class,"AutoTypeExecturorX11",AutoTypeXCB.h,21,,3
Explicit Public Function,"AutoTypeExecturorX11::AutoTypeExecturorX11",AutoTypeXCB.cpp,4,1,
