Kind,Name,File,CountLineCode,Cyclomatic,SumCyclomatic
Class,"AboutDlg",AboutDlg.h,79,,13
File,"AboutDlg.cpp",AboutDlg.cpp,143,,25
File,"AboutDlg.h",AboutDlg.h,36,,5
Public Function,"AboutDlg::AboutDlg",AboutDlg.h,1,1,
Public Virtual Function,"AboutDlg::destroy",AboutDlg.h,4,1,
Public Function,"AboutDlg::doDialog",AboutDlg.cpp,6,2,
Protected Virtual Function,"AboutDlg::run_dlgProc",AboutDlg.cpp,58,9,
Class,"Accelerator",shortcut.h,152,,36
Public Function,"Accelerator::Accelerator",shortcut.h,1,1,
Public Const Function,"Accelerator::getAccTable",shortcut.h,1,1,
Public Const Function,"Accelerator::getFindAccTable",shortcut.h,1,1,
Public Const Function,"Accelerator::getIncrFindAccTable",shortcut.h,1,1,
Public Function,"Accelerator::init",shortcut.h,5,1,
Public Function,"Accelerator::updateFullMenu",shortcut.cpp,20,5,
Private Function,"Accelerator::updateMenuItemByCommand",shortcut.cpp,7,3,
Public Function,"Accelerator::updateShortcuts",shortcut.cpp,91,18,
Public Function,"Accelerator::~Accelerator",shortcut.h,10,5,
Class,"Accessor",Accessor.h,49,,11
File,"Accessor.cxx",Accessor.cxx,42,,11
File,"Accessor.h",Accessor.h,12,,0
Public Function,"Accessor::Accessor",Accessor.cxx,2,1,
Public Const Function,"Accessor::GetPropertyInt",Accessor.cxx,3,1,
Public Function,"Accessor::IndentAmount",Accessor.cxx,37,9,
Class,"Action",CellBuffer.h,52,,6
Public Function,"Action::Action",CellBuffer.cxx,7,1,
Public Function,"Action::Create",CellBuffer.cxx,12,2,
Public Function,"Action::Destroy",CellBuffer.cxx,4,1,
Public Function,"Action::Grab",CellBuffer.cxx,13,1,
Public Function,"Action::~Action",CellBuffer.cxx,3,1,
Function,"AddGrid",BabyGrid.cpp,34,7,
Static Function,"AddRectangularToMime",ScintillaQt.cpp,5,1,
Function,"AddSymmetric",CaseConvert.cxx,17,4,
Struct,"After",LexVisualProlog.cxx,4,,1
